Full_Name,position,year,Rank,Formatted_Valuation
Chastan Brown,OL,1,600.0,"$8,500.00"
Jesse Harrold,DL,1,600.0,"$8,500.00"
Tae'Shaun Gelsey,WR,1,600.0,"$8,500.00"
Teriq Mallory,WR,1,600.0,"$8,500.00"
Sean Poret,OL,1,600.0,"$8,500.00"
Brunno Reus,P,1,600.0,"$8,500.00"
Zay Parks,RB,1,600.0,"$8,500.00"
Jeremiah Johnson,RB,1,600.0,"$8,500.00"
Gav Holman,LB,1,600.0,"$8,500.00"
Luke Douglas,TE,1,600.0,"$8,500.00"
Willy Suarez,WR,1,600.0,"$8,500.00"
Antonio Cromartie Jr.,DB,1,600.0,"$8,500.00"
Gavin Markey,QB,1,600.0,"$8,500.00"
Zae Thomas,DB,1,600.0,"$8,500.00"
Ethan Pritchard,LB,1,600.0,"$8,500.00"
Ethan Post,P,1,600.0,"$8,500.00"
Alex Nocco,LS,1,600.0,"$8,500.00"
Ja'Elyne Matthews,OL,1,600.0,"$8,500.00"
Greyson Labiad,TE,3,350.0,"$22,000.00"
Tyeland Coleman,DL,3,350.0,"$22,000.00"
